name1,name2,is_match,cosine_sim,sbert_sim,jaro_sim,levenshtein,first_letter_match,len_diff,soundex_match,metaphone_match,token_set_ratio,lcs,jaccard,ngram_overlap,predicted_match
ashish vashistha,tejash vashisht,0,0.465164159,0.5531095,0.738888889,6,0,1,0,0,0.71,9,0,0.533333333,0
ashvind bawa,chinar k,0,0.012614552,0.3039077,0.547222222,9,0,4,0,0,0.4,2,0,0,0
shahiq ahmed,ahemadullah shalkh,0,0.099025622,0.41120538,0.601851852,14,0,6,0,0,0.6,3,0,0.04,0
piara singh,chinar k,0,0.020803278,0.39743462,0.621212121,9,0,3,0,0,0.42,2,0,0,0
senthil kumar,n senthilkumar,0,0.740242591,0.6204414,0.873626374,3,0,1,0,0,0.59,7,0,0.533333333,0
sudhanshu mishra,d mishra,0,0.573148629,0.7432655,0.5,8,0,8,0,0,0.86,7,0.333333333,0.333333333,0
manoj kumar gupta,laldav gupta,0,0.339825892,0.74754715,0.629084967,9,0,5,0,0,0.59,6,0.25,0.19047619,0
manu kuris,kuresh s,0,0.250391016,0.46640095,0.558333333,8,0,2,0,0,0.56,3,0,0.076923077,0
manasa mohan,manasa u,0,0.733317395,0.61897653,0.891666667,5,1,4,0,0,0.86,7,0.333333333,0.454545455,0
quresh maskati,kuresh s,0,0.279233856,0.22780006,0.791666667,7,0,6,0,0,0.55,6,0,0.285714286,0
animesh damani,anil dammani,0,0.435702313,0.5029351,0.888131313,5,1,2,0,0,0.77,4,0,0.25,0
rajiv ranjan,rajeev rahi,0,0.189576928,0.6834134,0.817929293,6,1,1,1,0,0.61,4,0,0.1875,0
sudheer katta,a chitti babu,0,0.025796258,0.33836055,0.456410256,11,0,0,0,0,0.31,2,0,0,0
ashish khattar,ira khattar,0,0.628542776,0.6502892,0.807792208,5,0,3,0,0,0.78,8,0.333333333,0.4,0
r n singh,arpana singh,0,0.471482823,0.6771771,0.810185185,4,0,3,0,0,0.71,6,0.25,0.307692308,0
saroj kanta mishra,sarvendra x,0,0.112600524,0.41419113,0.570707071,13,1,7,0,0,0.34,3,0,0.041666667,0
shiv kishor,shiva kishore,1,0.677858658,0.5085839,0.969230769,2,1,2,1,1,0.92,7,0,0.538461538,1
ankur saxena,sarvendra x,0,0.046294257,0.2300471,0.644660895,11,0,1,0,0,0.43,2,0,0,0
malay kumar mandal,malay kr mondal,1,0.698162243,0.5793493,0.899365079,4,1,3,0,0,0.85,7,0.2,0.380952381,1
j v shivakishore,shiva kishore,0,0.726290147,0.5997499,0.860576923,5,0,3,0,0,0.62,7,0,0.470588235,0
b n shukla,sachin shukla,0,0.688021807,0.5977633,0.721794872,5,0,3,0,0,0.75,8,0.25,0.461538462,0
thayumana sundaram,sundaram m v t,0,0.556812506,0.6708851,0.534391534,16,0,4,0,0,0.73,8,0.2,0.272727273,0
shanmuga sundaram,sundaram m v t,0,0.578374041,0.6409558,0.597338936,14,1,3,0,0,0.73,8,0.2,0.285714286,0
mahadeo n garale,kaushik mahade,0,0.332035147,0.61654437,0.545634921,11,0,2,0,0,0.53,6,0,0.181818182,0
arjun thayumana sundaram,sundaram m v t,0,0.48629179,0.51499915,0.524470899,19,0,10,0,0,0.73,8,0.166666667,0.214285714,0
v p singh,prabhash singh,0,0.533456418,0.65202665,0.664021164,8,0,5,0,0,0.71,6,0.25,0.266666667,0
rk gupta,amrit kumar gupta,0,0.422239022,0.72630775,0.534313725,9,0,9,0,0,0.77,6,0.25,0.235294118,0
t kannan kumar,t sri krishnakumaran,0,0.226396231,0.6344384,0.657359307,11,1,6,0,0,0.59,5,0.2,0.111111111,0
md arif ansari surgeon doctor in katihar,a r ansari,0,0.378056607,0.39825022,0.616666667,31,0,30,0,0,0.75,7,0.111111111,0.125,0
shajahan y,shah jahan,0,0.538032424,0.49069738,0.901481481,4,1,0,1,0,0.6,5,0,0.333333333,0
drks varma,k asok varma,0,0.335766241,0.65969706,0.697222222,5,0,2,0,0,0.67,6,0.25,0.285714286,0
swapnil a pattanshetti,p s pattanshetty,0,0.618940039,0.5376287,0.784217172,8,0,6,0,0,0.74,12,0,0.416666667,0
pattanshetty ramesh chandrappa,p s pattanshetty,1,0.700735193,0.5804833,0.637698413,22,1,14,0,0,0.86,12,0.2,0.3125,1
bhardwaj vijayesh,vijyesh bharadwaj,1,0.512865629,0.65109533,0.464985994,16,0,0,0,0,0.94,4,0,0.304347826,1
rajeev kumar ranjan,k rajan kumar,0,0.52161055,0.7215832,0.65685192,12,0,6,0,0,0.75,6,0.2,0.333333333,0
pattanshetty nagutai tamanna,p s pattanshetty,1,0.634719079,0.6336576,0.630723443,20,1,12,0,0,0.86,12,0.2,0.333333333,1
abhishek maru,abhishek bhagwat,0,0.552437634,0.58837783,0.878846154,6,1,3,1,0,0.76,9,0.333333333,0.388888889,0
dhanasegaran,s sevvel,0,0.019650502,0.27129626,0.472222222,10,0,4,0,0,0.2,2,0,0,0
manoj padman,h s rautela,0,0,0.27304903,0.396464646,11,0,1,0,0,0.26,1,0,0,0
sushanth,susanth s,0,0.562344985,0.39694217,0.852314815,3,1,1,1,0,0.82,4,0,0.3,1
sushanth y s,susanth s,0,0.564768823,0.3808763,0.889814815,3,1,3,1,0,0.86,5,0.25,0.307692308,1
jofin john varghese,jofin k johny,0,0.650604707,0.6143921,0.848656607,11,1,6,1,0,0.69,6,0.2,0.333333333,0
trilok pratap singh bhandari,trilok x,0,0.601292028,0.3398636,0.825,21,1,20,1,0,0.86,7,0.2,0.185185185,0
subhankar saren,rajiv gupta,0,0,0.2988858,0.376767677,13,0,4,0,0,0.23,1,0,0,0
amith reddy,amith s,0,0.70400931,0.4834969,0.880519481,5,1,4,0,0,0.83,6,0.333333333,0.4,0
gsundararajan,p sundar rajan,0,0.5432036,0.38240772,0.816683317,3,0,1,0,0,0.44,6,0,0.466666667,0
abhijit thakur,h p thakur,0,0.601048527,0.75500435,0.707142857,6,0,4,0,0,0.75,7,0.25,0.333333333,0
nayanjyoti das,j das,0,0.377755252,0.5869571,0.347619048,9,0,9,0,0,0.75,4,0.333333333,0.153846154,0
mohamed meeran,pms meeran,0,0.576055355,0.5794414,0.707142857,6,0,4,0,0,0.75,7,0.333333333,0.333333333,0
shravan pratap singh yadav,s b yadav,0,0.470447676,0.6483855,0.521367521,18,1,17,0,0,0.71,6,0.166666667,0.148148148,0
o p rai,r n rai,0,0.771313451,0.70350015,0.80952381,2,0,0,0,0,0.71,4,0.2,0.25,0
manoj kumar,monaj kumar barik,0,0.239527732,0.6036883,0.86684492,8,1,6,1,0,0.64,7,0.25,0.263157895,0
manoj kumar a p,monaj kumar barik,0,0.226985594,0.5666339,0.866334842,6,1,2,1,0,0.69,8,0.166666667,0.272727273,0
dipak prasad das,c p das,0,0.44732226,0.4967651,0.608928571,10,0,9,0,0,0.6,4,0.2,0.117647059,0
gogoidhruba jyoti,s gogoi,0,0.472405407,0.6717084,0.669467787,13,0,10,0,0,0.5,5,0,0.176470588,0
manoj kumar r,monaj kumar barik,0,0.238847872,0.60516596,0.906334842,6,1,4,1,0,0.6,8,0.2,0.3,0
robin kurian,ribin c,0,0.191040165,0.16166466,0.643650794,7,1,5,1,0,0.53,4,0,0.153846154,0
c purnachandra rao,n poornachandra rao,0,0.655147946,0.6083775,0.868664717,3,0,1,0,0,0.86,14,0.2,0.571428571,1
raj kumar rajput,rajkumar verma,0,0.256976112,0.54826224,0.81344697,7,1,2,0,0,0.53,6,0,0.25,0
saurabh tiwari,v s tiwari,0,0.650863718,0.6761395,0.66547619,7,0,4,0,0,0.75,7,0.25,0.333333333,0
drd sakthivelan,sakthivel j,0,0.703859665,0.7317988,0.691919192,6,0,4,0,0,0.77,9,0,0.466666667,0
purnendu roy,m c roy,0,0.518343909,0.5863725,0.551587302,8,0,5,0,0,0.6,4,0.25,0.153846154,0
p s m ameer ali,amir ali,0,0.454363102,0.66462135,0.413888889,8,0,7,0,0,0.61,5,0.166666667,0.1875,0
rammohan kasturi,k ram mohan,0,0.345292394,0.722584,0.645412458,11,0,5,0,0,0.52,5,0,0.210526316,0
jajoo rucha suhas,rucha j naval,0,0.418327706,0.64397526,0.652488688,12,0,4,0,0,0.6,6,0.2,0.181818182,0
suresh kumar sarawgi,s sarawgi,1,0.807429917,0.59026194,0.6,11,1,11,0,0,0.88,8,0.25,0.315789474,1
gejo george cedric,gejoe g,0,0.368240956,0.5815261,0.849206349,12,1,11,0,0,0.48,4,0,0.105263158,0
sanjay kumar dubey,pijush dubey,0,0.456979409,0.5673023,0.601851852,10,0,6,0,0,0.59,6,0.25,0.181818182,0
ananya anudeep,o anudeep,0,0.761539886,0.6254761,0.778439153,6,0,5,0,0,0.88,8,0.333333333,0.461538462,1
manoj bansal,manan bansal,0,0.708248488,0.649029,0.852222222,2,1,0,0,0,0.83,7,0.333333333,0.428571429,0
nilesh nimavat,t nimavat,0,0.77990675,0.6427647,0.778439153,6,0,5,0,0,0.88,8,0.333333333,0.461538462,0
